
CommandType     Name                                               Version    Source
Cmdlet          Enable-AppBackgroundTaskDiagnosticLog              1.0.0.0    AppBackgroundTask
Cmdlet          Enable-ExperimentalFeature                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Enable-LocalUser                                   1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Enable-PSBreakpoint                                6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Enable-PSRemoting                                  6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Enable-PSSessionConfiguration                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Enable-RunspaceDebug                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Enable-TpmAutoProvisioning                         2.0.0.0    TrustedPlatformModule
Cmdlet          Enable-WindowsErrorReporting                       1.0        WindowsErrorReporting
Cmdlet          Enable-WindowsOptionalFeature                      3.0        Dism
Cmdlet          Enable-WSManCredSSP                                6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Enter-PSHostProcess                                6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Enter-PSSession                                    6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Exit-PSHostProcess                                 6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Exit-PSSession                                     6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Expand-WindowsCustomDataImage                      3.0        Dism
Cmdlet          Expand-WindowsImage                                3.0        Dism
Cmdlet          Export-Alias                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Export-BinaryMiLog                                 6.1.0.0    CimCmdlets
Cmdlet          Export-Clixml                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Export-Counter                                     3.0.0.0    Microsoft.PowerShell.Diagnostics
Cmdlet          Export-Csv                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Export-FormatData                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Export-ModuleMember                                6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Export-PSSession                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Export-StartLayout                                 1.0.0.0    StartLayout
Cmdlet          Export-StartLayoutEdgeAssets                       1.0.0.0    StartLayout
Cmdlet          Export-WindowsCapabilitySource                     3.0        Dism
Cmdlet          Export-WindowsDriver                               3.0        Dism
Cmdlet          Export-WindowsImage                                3.0        Dism
Cmdlet          Find-Package                                       1.3.2      PackageManagement
Cmdlet          Find-PackageProvider                               1.3.2      PackageManagement

Cmdlet          Format-Custom                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Format-Hex                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Format-List                                        6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Format-SecureBootUEFI                              2.0.0.0    SecureBoot
Cmdlet          Format-Table                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Format-Wide                                        6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Acl                                            6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Get-Alias                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-AppxDefaultVolume                              2.0.1.0    Appx
Cmdlet          Get-AppxPackage                                    2.0.1.0    Appx
Cmdlet          Get-AppxPackageManifest                            2.0.1.0    Appx
Cmdlet          Get-AppxProvisionedPackage                         3.0        Dism
Cmdlet          Get-AppxVolume                                     2.0.1.0    Appx
Cmdlet          Get-AuthenticodeSignature                          6.1.0.0    Microsoft.PowerShell.Security

Cmdlet          Get-CimAssociatedInstance                          6.1.0.0    CimCmdlets
Cmdlet          Get-CimClass                                       6.1.0.0    CimCmdlets
Cmdlet          Get-CimInstance                                    6.1.0.0    CimCmdlets
Cmdlet          Get-CimSession                                     6.1.0.0    CimCmdlets
Cmdlet          Get-CmsMessage                                     6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Get-Command                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-ComputerInfo                                   6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-Content                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-Counter                                        3.0.0.0    Microsoft.PowerShell.Diagnostics
Cmdlet          Get-Credential                                     6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Get-Culture                                        6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-DAPolicyChange                                 2.0.0.0    NetSecurity
Cmdlet          Get-Date                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-DeliveryOptimizationLog                        1.0.2.0    DeliveryOptimization
Cmdlet          Get-DeliveryOptimizationPerfSnap                   1.0.2.0    DeliveryOptimization
Cmdlet          Get-DeliveryOptimizationPerfSnapThisMonth          1.0.2.0    DeliveryOptimization
Cmdlet          Get-DeliveryOptimizationStatus                     1.0.2.0    DeliveryOptimization
Cmdlet          Get-DOConfig                                       1.0.2.0    DeliveryOptimization
Cmdlet          Get-DODownloadMode                                 1.0.2.0    DeliveryOptimization
Cmdlet          Get-DOPercentageMaxBackgroundBandwidth             1.0.2.0    DeliveryOptimization
Cmdlet          Get-DOPercentageMaxForegroundBandwidth             1.0.2.0    DeliveryOptimization
Cmdlet          Get-Event                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-EventSubscriber                                6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-ExecutionPolicy                                6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Get-ExperimentalFeature                            6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-FileHash                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-FormatData                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Help                                           6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-History                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-Host                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Item                                           6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-ItemProperty                                   6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-ItemPropertyValue                              6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-Job                                            6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-LocalGroup                                     1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Get-LocalGroupMember                               1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Get-LocalUser                                      1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Get-Location                                       6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-MarkdownOption                                 6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Member                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Module                                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-NonRemovableAppsPolicy                         3.0        Dism
Cmdlet          Get-Package                                        1.3.2      PackageManagement
Cmdlet          Get-PackageProvider                                1.3.2      PackageManagement
Cmdlet          Get-PackageSource                                  1.3.2      PackageManagement
Cmdlet          Get-PfxCertificate                                 6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Get-Process                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-ProcessMitigation                              1.0.11     ProcessMitigations
Cmdlet          Get-PSBreakpoint                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-PSCallStack                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-PSDrive                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-PSHostProcessInfo                              6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-PSProvider                                     6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-PSReadLineKeyHandler                           2.0.0      PSReadLine
Cmdlet          Get-PSReadLineOption                               2.0.0      PSReadLine
Cmdlet          Get-PSSession                                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-PSSessionCapability                            6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-PSSessionConfiguration                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Get-Random                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Runspace                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-RunspaceDebug                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-SecureBootPolicy                               2.0.0.0    SecureBoot
Cmdlet          Get-SecureBootUEFI                                 2.0.0.0    SecureBoot
Cmdlet          Get-Service                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-TimeZone                                       6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Get-Tpm                                            2.0.0.0    TrustedPlatformModule
Cmdlet          Get-TpmEndorsementKeyInfo                          2.0.0.0    TrustedPlatformModule
Cmdlet          Get-TpmSupportedFeature                            2.0.0.0    TrustedPlatformModule
Cmdlet          Get-TraceSource                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-TroubleshootingPack                            1.0.0.0    TroubleshootingPack
Cmdlet          Get-TypeData                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-UICulture                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Unique                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Uptime                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Variable                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-Verb                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Get-WheaMemoryPolicy                               2.0.0.0    Whea
Cmdlet          Get-WIMBootEntry                                   3.0        Dism
Cmdlet          Get-WinAcceptLanguageFromLanguageListOptOut        2.0.0.0    International
Cmdlet          Get-WinCultureFromLanguageListOptOut               2.0.0.0    International
Cmdlet          Get-WinDefaultInputMethodOverride                  2.0.0.0    International
Cmdlet          Get-WindowsCapability                              3.0        Dism
Cmdlet          Get-WindowsDeveloperLicense                        1.0.0.0    WindowsDeveloperLicense
Cmdlet          Get-WindowsDriver                                  3.0        Dism
Cmdlet          Get-WindowsEdition                                 3.0        Dism
Cmdlet          Get-WindowsErrorReporting                          1.0        WindowsErrorReporting
Cmdlet          Get-WindowsImage                                   3.0        Dism
Cmdlet          Get-WindowsImageContent                            3.0        Dism
Cmdlet          Get-WindowsOptionalFeature                         3.0        Dism
Cmdlet          Get-WindowsPackage                                 3.0        Dism
Cmdlet          Get-WindowsSearchSetting                           1.0.0.0    WindowsSearch
Cmdlet          Get-WinEvent                                       6.1.0.0    Microsoft.PowerShell.Diagnostics
Cmdlet          Get-WinHomeLocation                                2.0.0.0    International
Cmdlet          Get-WinLanguageBarOption                           2.0.0.0    International
Cmdlet          Get-WinSystemLocale                                2.0.0.0    International
Cmdlet          Get-WinUILanguageOverride                          2.0.0.0    International
Cmdlet          Get-WinUserLanguageList                            2.0.0.0    International
Cmdlet          Get-WSManCredSSP                                   6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Get-WSManInstance                                  6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Group-Object                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-Alias                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-BinaryMiLog                                 6.1.0.0    CimCmdlets
Cmdlet          Import-Clixml                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-Counter                                     3.0.0.0    Microsoft.PowerShell.Diagnostics
Cmdlet          Import-Csv                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-LocalizedData                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-Module                                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Import-PackageProvider                             1.3.2      PackageManagement
Cmdlet          Import-PowerShellDataFile                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-PSSession                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Import-StartLayout                                 1.0.0.0    StartLayout
Cmdlet          Import-TpmOwnerAuth                                2.0.0.0    TrustedPlatformModule
Cmdlet          Initialize-Tpm                                     2.0.0.0    TrustedPlatformModule
Cmdlet          Install-Package                                    1.3.2      PackageManagement
Cmdlet          Install-PackageProvider                            1.3.2      PackageManagement
Cmdlet          Invoke-CimMethod                                   6.1.0.0    CimCmdlets
Cmdlet          Invoke-Command                                     6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Invoke-CommandInDesktopPackage                     2.0.1.0    Appx
Cmdlet          Invoke-Expression                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Invoke-History                                     6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Invoke-Item                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Invoke-RestMethod                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Invoke-TroubleshootingPack                         1.0.0.0    TroubleshootingPack
Cmdlet          Invoke-WebRequest                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Invoke-WSManAction                                 6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Join-Path                                          6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Join-String                                        6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Measure-Command                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Measure-Object                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Mount-AppxVolume                                   2.0.1.0    Appx
Cmdlet          Mount-WindowsImage                                 3.0        Dism
Cmdlet          Move-AppxPackage                                   2.0.1.0    Appx

Cmdlet          Move-ItemProperty                                  6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          New-Alias                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-CimInstance                                    6.1.0.0    CimCmdlets
Cmdlet          New-CimSession                                     6.1.0.0    CimCmdlets
Cmdlet          New-CimSessionOption                               6.1.0.0    CimCmdlets
Cmdlet          New-Event                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-FileCatalog                                    6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          New-Guid                                           6.1.0.0    Microsoft.PowerShell.Utility

Cmdlet          New-ItemProperty                                   6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          New-LocalGroup                                     1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          New-LocalUser                                      1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          New-Module                                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-ModuleManifest                                 6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-NetIPsecAuthProposal                           2.0.0.0    NetSecurity
Cmdlet          New-NetIPsecMainModeCryptoProposal                 2.0.0.0    NetSecurity
Cmdlet          New-NetIPsecQuickModeCryptoProposal                2.0.0.0    NetSecurity
Cmdlet          New-Object                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-PSDrive                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          New-PSRoleCapabilityFile                           6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-PSSession                                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-PSSessionConfigurationFile                     6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-PSSessionOption                                6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-PSTransportOption                              6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          New-Service                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          New-TemporaryFile                                  6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-TimeSpan                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-Variable                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          New-WindowsCustomImage                             3.0        Dism
Cmdlet          New-WindowsImage                                   3.0        Dism
Cmdlet          New-WinEvent                                       6.1.0.0    Microsoft.PowerShell.Diagnostics
Cmdlet          New-WinUserLanguageList                            2.0.0.0    International
Cmdlet          New-WSManInstance                                  6.1.0.0    Microsoft.WSMan.Management
Cmdlet          New-WSManSessionOption                             6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Optimize-AppxProvisionedPackages                   3.0        Dism
Cmdlet          Optimize-WindowsImage                              3.0        Dism
Cmdlet          Out-Default                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Out-File                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Out-Host                                           6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Out-Null                                           6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Out-String                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Pop-Location                                       6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Protect-CmsMessage                                 6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Push-Location                                      6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Read-Host                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Receive-Job                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Receive-PSSession                                  6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Register-ArgumentCompleter                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Register-CimIndicationEvent                        6.1.0.0    CimCmdlets
Cmdlet          Register-EngineEvent                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Register-ObjectEvent                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Register-PackageSource                             1.3.2      PackageManagement
Cmdlet          Register-PSSessionConfiguration                    6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Remove-Alias                                       6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Remove-AppxPackage                                 2.0.1.0    Appx
Cmdlet          Remove-AppxProvisionedPackage                      3.0        Dism
Cmdlet          Remove-AppxVolume                                  2.0.1.0    Appx
Cmdlet          Remove-CimInstance                                 6.1.0.0    CimCmdlets
Cmdlet          Remove-CimSession                                  6.1.0.0    CimCmdlets
Cmdlet          Remove-Event                                       6.1.0.0    Microsoft.PowerShell.Utility

Cmdlet          Remove-ItemProperty                                6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Remove-Job                                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Remove-LocalGroup                                  1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Remove-LocalGroupMember                            1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Remove-LocalUser                                   1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Remove-Module                                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Remove-PSBreakpoint                                6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Remove-PSDrive                                     6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Remove-PSReadLineKeyHandler                        2.0.0      PSReadLine
Cmdlet          Remove-PSSession                                   6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Remove-Service                                     6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Remove-TypeData                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Remove-Variable                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Remove-WindowsCapability                           3.0        Dism
Cmdlet          Remove-WindowsDriver                               3.0        Dism
Cmdlet          Remove-WindowsImage                                3.0        Dism
Cmdlet          Remove-WindowsPackage                              3.0        Dism
Cmdlet          Remove-WSManInstance                               6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Rename-Computer                                    6.1.0.0    Microsoft.PowerShell.Management

Cmdlet          Rename-ItemProperty                                6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Rename-LocalGroup                                  1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Rename-LocalUser                                   1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Repair-WindowsImage                                3.0        Dism
Cmdlet          Resolve-DnsName                                    1.0.0.0    DnsClient
Cmdlet          Resolve-Path                                       6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Restart-Computer                                   6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Restart-Service                                    6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Resume-Service                                     6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Save-Help                                          6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Save-Package                                       1.3.2      PackageManagement
Cmdlet          Save-WindowsImage                                  3.0        Dism
Cmdlet          Select-Object                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Select-String                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Select-Xml                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Send-MailMessage                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Set-Acl                                            6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Set-Alias                                          6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Set-AppBackgroundTaskResourcePolicy                1.0.0.0    AppBackgroundTask
Cmdlet          Set-AppxDefaultVolume                              2.0.1.0    Appx
Cmdlet          Set-AppXProvisionedDataFile                        3.0        Dism
Cmdlet          Set-AuthenticodeSignature                          6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Set-CimInstance                                    6.1.0.0    CimCmdlets
Cmdlet          Set-Content                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Set-Culture                                        2.0.0.0    International
Cmdlet          Set-Date                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Set-DeliveryOptimizationStatus                     1.0.2.0    DeliveryOptimization
Cmdlet          Set-DODownloadMode                                 1.0.2.0    DeliveryOptimization
Cmdlet          Set-DOPercentageMaxBackgroundBandwidth             1.0.2.0    DeliveryOptimization
Cmdlet          Set-DOPercentageMaxForegroundBandwidth             1.0.2.0    DeliveryOptimization
Cmdlet          Set-ExecutionPolicy                                6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          Set-Item                                           6.1.0.0    Microsoft.PowerShell.Management

Cmdlet          Set-LocalGroup                                     1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Set-LocalUser                                      1.0.0.0    Microsoft.PowerShell.LocalAccounts

Cmdlet          Set-MarkdownOption                                 6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Set-NonRemovableAppsPolicy                         3.0        Dism
Cmdlet          Set-PackageSource                                  1.3.2      PackageManagement
Cmdlet          Set-ProcessMitigation                              1.0.11     ProcessMitigations
Cmdlet          Set-PSBreakpoint                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Set-PSDebug                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Set-PSReadLineKeyHandler                           2.0.0      PSReadLine
Cmdlet          Set-PSReadLineOption                               2.0.0      PSReadLine
Cmdlet          Set-PSSessionConfiguration                         6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Set-SecureBootUEFI                                 2.0.0.0    SecureBoot
Cmdlet          Set-Service                                        6.1.0.0    Microsoft.PowerShell.Management
